TIMESTAMP, EVENT, PSI_SOME_AVG10, PSI_SOME_AVG60, PSI_FULL_AVG10, PSI_FULL_AVG60, MEM_AVAIL_KB, COND_MEM_PRESSURE, COND_PSI_PRESSURE
2026-03-13T06:38:38.832Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15349172, False, False
2026-03-13T06:38:40.996Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337356, False, False
2026-03-13T06:38:43.163Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15348936, False, False
2026-03-13T06:38:45.331Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15316296, False, False
2026-03-13T06:38:47.493Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15343492, False, False
2026-03-13T06:38:49.659Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15345420, False, False
2026-03-13T06:38:51.826Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15339348, False, False
2026-03-13T06:38:53.997Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15343244, False, False
2026-03-13T06:38:56.165Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337952, False, False
2026-03-13T06:38:58.332Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15340516, False, False
2026-03-13T06:39:00.499Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15325772, False, False
2026-03-13T06:39:02.670Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15336756, False, False
2026-03-13T06:39:04.856Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327424, False, False
2026-03-13T06:39:07.029Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15335768, False, False
2026-03-13T06:39:09.194Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15336920, False, False
2026-03-13T06:39:11.360Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15314348, False, False
2026-03-13T06:39:13.524Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15334992, False, False
2026-03-13T06:39:15.691Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15328136, False, False
2026-03-13T06:39:17.876Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15320264, False, False
2026-03-13T06:39:20.043Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337940, False, False
2026-03-13T06:39:22.210Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324880, False, False
2026-03-13T06:39:24.377Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337300, False, False
2026-03-13T06:39:26.540Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15319200, False, False
2026-03-13T06:39:28.704Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332448, False, False
2026-03-13T06:39:30.874Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322784, False, False
2026-03-13T06:39:33.054Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331308, False, False
2026-03-13T06:39:35.232Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329716, False, False
2026-03-13T06:39:37.398Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15317736, False, False
2026-03-13T06:39:39.561Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330980, False, False
2026-03-13T06:39:41.725Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324356, False, False
2026-03-13T06:39:43.892Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15335516, False, False
2026-03-13T06:39:46.060Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15335232, False, False
2026-03-13T06:39:48.223Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15333096, False, False
2026-03-13T06:39:50.388Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15336648, False, False
2026-03-13T06:39:52.555Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15326836, False, False
2026-03-13T06:39:54.722Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332384, False, False
2026-03-13T06:39:56.885Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327024, False, False
2026-03-13T06:39:59.055Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330496, False, False
2026-03-13T06:40:01.313Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329284, False, False
2026-03-13T06:40:03.480Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15321692, False, False
2026-03-13T06:40:05.648Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332080, False, False
2026-03-13T06:40:07.816Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330076, False, False
